,level_0,index,Date,total_checked,before_sleep_check,rise_time_check,meditation_min,meditation_check,rise_time_min,reading_check,reading_min,run_km,morning_thoughts_check,push_up_check
0,0.0,0.0,10/12/2021,6,True,True,15,True,81.0,True,23,0,True,True
1,1.0,1.0,10/13/2021,6,True,True,15,True,-30.0,True,26,0,True,True
2,2.0,2.0,10/14/2021,6,True,True,13,True,2.0,True,26,0,True,True
3,,3.0,10/15/2021,5,True,True,10,True,-37.0,False,0,0,True,True
4,,,10/16/2021,4,True,False,0,True,120.0,False,0,0,True,True
5,,,10/17/2021,6,True,True,14,True,60.0,True,29,0,True,True
6,,,10/18/2021,5,True,True,15,True,49.0,False,0,0,True,True
7,,,10/19/2021,5,True,True,13,True,48.0,False,0,0,True,True
8,,,10/20/2021,5,True,True,14,True,-21.0,True,23,0,True,True
9,,,10/21/2021,5,True,True,17,True,75.0,False,0,0,True,True
10,,,10/22/2021,6,True,True,12,True,45.0,True,25,0,True,True
11,,,10/23/2021,5,True,True,10,True,84.0,False,0,0,True,True
12,,,10/24/2021,5,False,True,14,True,117.0,True,26,0,True,True
13,,,10/25/2021,6,True,True,16,True,30.0,True,25,0,True,True
14,,,10/26/2021,6,True,True,16,True,-122.0,True,38,0,True,True
15,,,10/27/2021,6,True,True,17,True,-120.0,True,33,0,True,True
16,,,10/28/2021,6,True,True,11,True,-81.0,True,13,0,True,True
17,,,10/29/2021,6,True,True,15,True,-119.0,True,18,0,True,True
18,,,10/30/2021,0,False,False,0,False,120.0,False,0,0,False,False
19,,,10/31/2021,4,True,True,0,False,70.0,False,0,0,True,True
20,,,11/1/2021,6,True,True,7,True,75.0,True,12,0,True,True
21,,,11/2/2021,5,True,True,9,True,-30.0,False,0,0,True,True
22,,,11/3/2021,5,True,True,8,True,-30.0,False,0,0,True,True
23,,,11/4/2021,5,True,True,12,True,-60.0,False,0,0,True,True
24,,,11/5/2021,5,True,True,10,True,-60.0,False,0,0,True,True
25,,,11/6/2021,5,True,True,13,True,0.0,False,0,0,True,True
26,,,11/7/2021,6,True,True,12,True,0.0,True,22,0,True,True
27,,,11/8/2021,6,True,True,10,True,-40.0,True,11,0,True,True
28,,,11/9/2021,6,True,True,15,True,-60.0,True,17,0,True,True
29,,,11/10/2021,6,True,True,16,True,-60.0,True,13,0,True,True
30,,,11/11/2021,6,True,True,17,True,-60.0,True,13,0,True,True
31,,,11/12/2021,5,True,True,14,True,-60.0,False,0,0,True,True
32,,,11/13/2021,5,True,True,14,True,-60.0,False,0,0,True,True
33,,,11/14/2021,6,True,True,12,True,0.0,True,9,0,True,True
34,,,11/15/2021,6,True,True,16,True,-35.0,True,14,0,True,True
35,,,11/16/2021,6,True,True,17,True,-35.0,True,14,0,True,True
36,,,11/17/2021,6,True,True,16,True,-60.0,True,13,0,True,True
37,,,11/18/2021,1,True,False,0,False,0.0,False,0,0,False,False
38,,,11/19/2021,4,True,True,0,False,-35.0,False,0,0,True,True
39,,,11/20/2021,2,False,False,0,False,37.0,False,0,0,True,True
40,,,11/21/2021,5,True,False,11,True,110.0,True,30,0,True,True
41,,,11/22/2021,4,True,True,0,False,0.0,False,0,0,True,True
42,,,11/24/2021,0,False,False,0,False,40.0,False,0,0,False,False
43,,,11/26/2021,0,False,False,0,False,60.0,False,0,0,False,False
44,,,11/27/2021,0,False,False,0,False,60.0,False,0,0,False,False
45,,,11/30/2021,1,True,False,0,False,30.0,False,0,0,False,False
46,,,12/1/2021,5,True,True,10,True,-30.0,False,0,0,True,True
47,,,12/2/2021,5,True,False,10,True,38.0,True,15,0,True,True
48,,,12/3/2021,6,True,True,15,True,-45.0,True,16,0,True,True
49,,,12/4/2021,3,False,False,25,True,117.0,False,0,0,True,True
50,,,12/5/2021,3,False,False,15,True,47.0,False,0,0,True,True
51,,,12/6/2021,4,True,False,15,True,120.0,False,0,0,True,True
52,,,12/7/2021,6,True,True,15,True,30.0,True,13,0,True,True
53,,,12/8/2021,5,False,True,15,True,-30.0,True,20,0,True,True
54,,,12/9/2021,5,False,True,15,True,-30.0,True,20,0,True,True
55,,,12/10/2021,6,True,True,15,True,-36.0,True,10,0,True,True
56,,,12/11/2021,2,False,False,0,False,48.0,False,0,0,True,True
57,,,12/12/2021,0,False,False,0,False,,False,0,0,False,False
58,,,12/13/2021,0,False,False,0,False,,False,0,0,False,False
59,,,12/14/2021,4,True,False,25,True,23.0,False,0,0,True,True
60,,,12/15/2021,4,True,True,0,False,-18.0,False,0,0,True,True
61,,,12/16/2021,5,True,True,15,True,100.0,False,0,0,True,True
62,,,12/17/2021,3,False,False,15,True,48.0,False,0,0,True,True
63,,,12/18/2021,0,False,False,0,False,0.0,False,0,0,False,False
64,,,12/19/2021,4,False,True,15,True,60.0,False,0,0,True,True
65,,,12/20/2021,3,True,True,0,False,-83.0,False,0,0,True,False
66,,,12/21/2021,3,False,True,0,False,27.0,False,0,0,True,True
67,,,12/22/2021,3,False,True,0,False,27.0,False,0,0,True,True
68,,,12/23/2021,1,False,False,0,False,,False,0,0,False,True
69,,,12/24/2021,3,True,False,0,False,-15.0,False,0,0,True,True
70,,,12/25/2021,2,False,False,0,False,70.0,False,0,0,True,True
71,,,12/26/2021,1,True,False,0,False,7.0,False,0,0,False,False
72,,,12/28/2021,1,True,False,0,False,7.0,False,0,0,False,False
73,,,12/29/2021,1,True,False,0,False,7.0,False,0,0,False,False
74,,,12/30/2021,0,False,False,0,False,,False,0,0,False,False
75,,,12/31/2021,0,False,False,0,False,,False,0,0,False,False
76,,,1/1/2022,2,True,True,0,False,44.0,False,0,0,False,False
77,,,1/2/2022,2,False,False,0,False,71.0,False,0,0,True,True
78,,,1/3/2022,3,False,False,10,True,120.0,False,0,0,True,True
79,,,1/4/2022,3,True,False,0,False,66.0,False,0,0,True,True
80,,,1/7/2022,0,False,False,0,False,300.0,False,0,0,False,False
81,,,1/8/2022,5,True,True,15,True,60.0,False,0,0,True,True
82,,,1/9/2022,5,True,True,15,True,86.0,False,0,0,True,True
83,,,1/10/2022,1,True,False,0,False,-68.0,False,0,0,False,False
84,,,1/11/2022,1,False,False,0,False,140.0,False,0,0,True,False
85,,,1/12/2022,1,False,False,5,True,179.0,False,0,0,False,False
86,,,1/13/2022,0,False,False,0,False,319.0,False,0,0,False,False
87,,,1/14/2022,1,False,False,0,False,206.0,False,0,0,True,False
88,,,1/15/2022,2,False,False,0,False,130.0,False,0,0,True,True
89,,,1/16/2022,2,False,False,5,True,215.0,False,0,0,False,True
90,,,1/17/2022,4,False,True,15,True,120.0,False,0,0,True,True
91,,,1/18/2022,5,True,True,15,True,-155.0,False,0,0,True,True
92,,,1/19/2022,3,False,True,0,False,90.0,False,0,0,True,True
93,,,1/20/2022,3,False,True,0,False,1.0,False,0,0,True,True
94,,,1/21/2022,0,False,False,0,False,60.0,False,0,0,False,False
95,,,1/22/2022,0,False,False,0,False,60.0,False,0,0,False,False
96,,,1/23/2022,3,False,False,15,True,107.0,False,0,0,True,True
97,,,1/24/2022,6,True,True,0,True,-75.0,True,0,0,True,True
98,,,1/25/2022,0,False,False,0,False,-70.0,False,0,0,False,False
99,,,1/26/2022,4,True,False,15,True,60.0,False,0,0,True,True
100,,,1/27/2022,4,True,True,0,False,-60.0,False,0,0,True,True
101,,,1/28/2022,5,True,True,15,True,-85.0,False,0,0,True,True
102,,,1/30/2022,0,False,False,0,False,-60.0,False,0,0,False,False
103,,,1/31/2022,5,True,True,10,True,0.0,False,0,0,True,True
104,,,2/1/2022,5,True,True,10,True,-20.0,False,0,0,True,True
105,,,2/2/2022,3,True,False,0,False,-30.0,False,0,0,True,True
106,,,2/3/2022,0,False,False,0,False,0.0,False,0,0,False,False
107,,,2/4/2022,1,False,False,0,False,0.0,False,0,0,False,True
108,,,2/5/2022,1,False,False,0,False,0.0,False,0,0,False,True
109,,,2/6/2022,1,False,False,0,False,-20.0,False,0,0,False,True
110,,,2/7/2022,4,True,False,15,True,60.0,False,0,0,True,True
111,,,2/8/2022,5,True,True,10,True,-60.0,False,0,0,True,True
112,,,2/9/2022,6,True,True,15,True,-60.0,True,17,0,True,True
113,,,2/10/2022,5,True,False,15,True,-60.0,True,15,0,True,True
114,,,2/11/2022,6,True,True,15,True,-11.0,True,14,0,True,True
115,,,2/12/2022,4,False,False,15,True,20.0,True,32,0,True,True
116,,,2/13/2022,6,True,True,15,True,60.0,True,29,0,True,True
117,,,2/14/2022,4,True,False,15,True,11.0,True,18,0,True,False
118,,,2/15/2022,6,True,True,15,True,-40.0,True,15,0,True,True
119,,,2/16/2022,6,True,True,15,True,-5.0,True,21,0,True,True
120,,,2/17/2022,0,False,False,0,False,-40.0,False,0,0,False,False
121,,,2/18/2022,1,False,False,0,False,-5.0,False,0,0,False,True
122,,,2/19/2022,4,False,False,15,True,100.0,True,39,0,True,True
123,,,2/20/2022,4,True,False,15,True,30.0,True,21,0,True,False
124,,,2/21/2022,5,True,False,15,True,0.0,True,16,0,True,True
125,,,2/22/2022,5,True,True,10,True,-30.0,False,0,0,True,True
126,,,2/23/2022,3,True,False,5,True,-25.0,False,0,0,True,False
127,,,2/24/2022,5,True,True,15,True,-15.0,False,0,0,True,True
128,,,2/25/2022,5,True,True,15,True,30.0,False,0,0,True,True
129,,,2/26/2022,0,False,False,0,False,,False,0,0,False,False
130,,,2/27/2022,4,True,True,0,False,180.0,False,0,0,True,True
131,,,2/28/2022,6,True,True,15,True,22.0,True,10,0,True,True
132,,,3/1/2022,6,True,True,15,True,-40.0,True,15,0,True,True
133,,,3/2/2022,5,True,True,15,True,-27.0,False,0,0,True,True
134,,,3/3/2022,5,True,True,15,True,-72.0,False,0,0,True,True
135,,,3/4/2022,5,True,True,5,True,82.0,False,0,0,True,True
136,,,3/5/2022,5,True,True,10,True,60.0,False,0,0,True,True
137,,,3/6/2022,3,False,False,5,True,45.0,False,0,0,True,True
138,,,3/7/2022,4,True,True,5,True,60.0,False,0,0,False,True
139,,,3/8/2022,4,True,True,0,False,-35.0,False,0,0,True,True
140,,,3/9/2022,4,True,True,0,False,20.0,False,0,0,True,True
141,,,3/10/2022,1,True,False,0,False,-40.0,False,0,0,False,False
142,,,3/11/2022,3,True,True,0,False,,False,0,0,False,True
143,,,3/12/2022,0,False,False,0,False,,False,0,0,False,False
144,,,3/13/2022,2,False,False,15,True,225.0,True,31,0,False,False
145,,,3/14/2022,0,False,False,0,False,,False,0,0,False,False
146,,,3/15/2022,0,False,False,0,False,120.0,False,0,0,False,False
147,,,3/16/2022,0,False,False,0,False,120.0,False,0,0,False,False
148,,,3/17/2022,1,False,False,15,True,222.0,False,0,0,False,False
149,,,3/18/2022,1,False,False,0,False,150.0,True,16,0,False,False
150,,,3/19/2022,3,False,False,15,True,150.0,False,0,0,True,True
151,,,3/20/2022,6,True,True,15,True,85.0,True,23,0,True,True
152,,,3/21/2022,2,False,False,0,False,120.0,False,0,0,True,True
153,,,3/22/2022,1,False,False,15,True,208.0,False,0,0,False,False
154,,,3/23/2022,5,True,True,15,True,85.0,False,0,0,True,True
155,,,3/24/2022,5,True,True,15,True,-30.0,False,0,0,True,True
156,,,3/25/2022,5,True,True,15,True,-30.0,False,0,0,True,True
157,,,3/26/2022,6,True,True,15,True,60.0,True,11,0,True,True
158,,,3/27/2022,6,True,True,15,True,60.0,True,11,0,True,True
159,,,3/28/2022,2,True,False,0,False,-68.0,False,0,0,False,True
160,,,3/29/2022,3,True,True,15,True,6.0,False,0,0,False,False
161,,,3/30/2022,5,True,True,15,True,-2.0,False,0,0,True,True
162,,,3/31/2022,4,True,True,0,False,0.0,False,0,0,True,True
163,,,4/01/2022,0,False,False,0,False,,False,0,0,False,False
