Date,total_checked,before_sleep_check,rise_time_check,meditation_check,reading_check,morning_thoughts_check,push_up_check
10/12/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/13/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/14/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/15/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10/16/2021,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
10/17/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/18/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10/19/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10/20/2021,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/21/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10/22/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/23/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10/24/2021,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10/25/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/26/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/27/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/28/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/29/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/30/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10/31/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
11/1/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/2/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
11/3/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
11/4/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
11/5/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
11/6/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
11/7/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/8/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/9/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/11/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/12/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
11/13/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
11/14/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/15/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/16/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/17/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/18/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11/19/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
11/20/2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11/21/2021,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
11/22/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
11/24/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11/26/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11/27/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11/30/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12/1/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
12/2/2021,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
12/3/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/4/2021,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
12/5/2021,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
12/6/2021,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
12/7/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/8/2021,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
12/9/2021,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/11/2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12/12/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12/13/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12/14/2021,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
12/15/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
12/16/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
12/17/2021,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
12/18/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12/19/2021,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
12/20/2021,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
12/21/2021,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
12/22/2021,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
12/23/2021,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
12/24/2021,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
12/25/2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
12/26/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12/28/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12/29/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12/30/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12/31/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/1/2022,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1/2/2022,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1/3/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
1/4/2022,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1/7/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/8/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1/9/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1/10/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1/11/2022,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1/12/2022,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1/13/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/14/2022,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1/15/2022,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1/16/2022,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1/17/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1/18/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1/19/2022,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1/20/2022,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1/21/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/22/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/23/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
1/24/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1/25/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/26/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1/27/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1/28/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1/30/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1/31/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/1/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/2/2022,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2/3/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2/4/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/5/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/6/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/7/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2/8/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/9/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/10/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2/11/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/12/2022,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
2/13/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/14/2022,4,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2/15/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/16/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/17/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2/18/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/19/2022,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
2/20/2022,4,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2/21/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2/22/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/23/2022,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2/24/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/25/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2/26/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2/27/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
2/28/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/1/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/2/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/3/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/4/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/5/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/6/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
3/7/2022,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
3/8/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3/9/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3/10/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3/11/2022,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3/12/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/13/2022,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3/14/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/15/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/16/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3/17/2022,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3/18/2022,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3/19/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
3/20/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/21/2022,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3/22/2022,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3/23/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/24/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/25/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/26/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/27/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/28/2022,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3/29/2022,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3/30/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3/31/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
4/1/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/9/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/10/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/11/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/12/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/13/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/14/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4/15/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4/16/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4/17/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/18/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/19/2022,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
4/20/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
4/21/2022,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
4/22/2022,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4/23/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/24/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4/25/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4/26/2022,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
4/27/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4/28/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4/29/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
4/30/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5/1/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/2/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5/3/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5/4/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5/5/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5/6/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
5/7/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/8/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/9/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
5/10/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
5/11/2022,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5/12/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/13/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/14/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/15/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/16/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/17/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/18/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/19/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/20/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/21/2022,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
5/22/2022,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
5/23/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/3/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/4/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/5/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/6/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/7/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/8/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/9/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/10/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/11/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/12/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/13/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/14/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/15/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6/16/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
6/17/2022,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
6/18/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/19/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/20/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/21/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/22/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/23/2022,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
6/24/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6/25/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/26/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/27/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/28/2022,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
6/29/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
6/30/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/1/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/2/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/3/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/3/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/4/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
7/5/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
7/5/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/6/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/7/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/8/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/9/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
